Location Name,Identifier,Road Section,State,Post Code,Latitude,Longitude,Electorate,Local Government Area,Regional Development Authority,Remoteness Area,Updated
Cleve,SA-0560,N/A,South Australia,5640,-33.701469,136.493197,Grey,Cleve,Whyalla and Eyre Peninsula,Remote Australia,25 February 2016
Cleve Kimba Road,SA-0561,N/A,South Australia,5640,-33.438061,136.417336,Grey,Cleve,Whyalla and Eyre Peninsula,Remote Australia,25 February 2016
Cobdogla,SA-0562,N/A,South Australia,5346,-34.243741,140.404417,Barker,Berri and Barmera,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Cockburn,SA-0563,N/A,South Australia,5440,-32.076502,140.997736,Grey,Unincorporated SA,Far North,Remote Australia,25 February 2016
Colley,SA-0564,N/A,South Australia,5671,-33.062027,134.64412,Grey,Streaky Bay,Whyalla and Eyre Peninsula,Very Remote Australia,25 February 2016
Conmurra ,SA-0565,N/A,South Australia,5272,-37.133425,140.175752,Barker,Naracoorte and Lucindale,Limestone Coast,Outer Regional Australia,25 February 2016
Cowell ,SA-0566,N/A,South Australia,5602,-33.717473,136.815861,Grey,Franklin Harbour,Whyalla and Eyre Peninsula,Remote Australia,25 February 2016
Cowell Road,SA-0567,N/A,South Australia,5641,-33.324757,136.740658,Grey,Kimba,Whyalla and Eyre Peninsula,Remote Australia,25 February 2016
Cowell Road,SA-0568,N/A,South Australia,5353,-34.671517,139.00186,Barker,Barossa,Barossa,Inner Regional Australia,25 February 2016
Cowell-Mangalo Road,SA-0569,N/A,South Australia,5602,-33.541118,136.62772,Grey,Cleve,Whyalla and Eyre Peninsula,Outer Regional Australia,25 February 2016
Cradock,SA-0570,N/A,South Australia,5432,-32.070389,138.493792,Grey,Flinders Ranges,Far North,Outer Regional Australia,25 February 2016
Cungena,SA-0571,N/A,South Australia,5660,-32.582736,134.709132,Grey,Streaky Bay,Whyalla and Eyre Peninsula,Very Remote Australia,25 February 2016
Davenport Road,SA-0572,N/A,South Australia,5235,-34.797521,139.149829,Barker,Mid Murray,Murraylands and Riverland,Inner Regional Australia,25 February 2016
Daveyston,SA-0573,N/A,South Australia,5355,-34.472559,138.875358,Wakefield,Light,Barossa,Inner Regional Australia,25 February 2016
Deep Creek,SA-0574,N/A,South Australia,5204,-35.61994,138.225625,Mayo,Yankalilla,"Adelaide Hills, Fleurieu and Kangaroo Island",Inner Regional Australia,25 February 2016
Delamere,SA-0575,N/A,South Australia,5204,-35.570004,138.197597,Mayo,Yankalilla,"Adelaide Hills, Fleurieu and Kangaroo Island",Inner Regional Australia,25 February 2016
Deviation Road,SA-0576,N/A,South Australia,5144,-34.957255,138.78025,Mayo,Adelaide Hills,"Adelaide Hills, Fleurieu and Kangaroo Island",Inner Regional Australia,25 February 2016
Distillery Road,SA-0577,N/A,South Australia,5344,-34.259737,140.541001,Barker,Berri and Barmera,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Dolphin Crescent ,SA-0578,N/A,South Australia,5223,-35.98213,137.181411,Mayo,Kangaroo Island,"Adelaide Hills, Fleurieu and Kangaroo Island",Remote Australia,25 February 2016
Duckponds Road,SA-0579,N/A,South Australia,5355,-34.43606,139.07293,Barker,Barossa,Barossa,Inner Regional Australia,25 February 2016
Dunjiba,SA-0580,N/A,South Australia,5734,-27.545323,135.447039,Grey,Unincorporated SA,Far North,Very Remote Australia,25 February 2016
Eagle Bore,SA-0581,N/A,South Australia,872,-26.032753,132.153158,Grey,Anangu Pitjantjatjara,Far North,Very Remote Australia,25 February 2016
East West Road,SA-0582,"Between Hog Bay Road and Cape Willoughby Road, Pennshaw",South Australia,5222,-35.800452,137.883219,Mayo,Kangaroo Island,"Adelaide Hills, Fleurieu and Kangaroo Island",Remote Australia,25 February 2016
Eba,SA-0583,N/A,South Australia,5320,-34.070119,139.569817,Barker,Mid Murray,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Echunga Road,SA-0584,N/A,South Australia,5153,-35.068619,138.797947,Mayo,Mount Barker,"Adelaide Hills, Fleurieu and Kangaroo Island",Inner Regional Australia,25 February 2016
Ellison's Road,SA-0585,Between Conmurra Road and Ellison Road,South Australia,5272,-37.176194,140.340278,Barker,Naracoorte and Lucindale,Limestone Coast,Outer Regional Australia,25 February 2016
Emu Bay,SA-0586,N/A,South Australia,5223,-35.59834,137.505604,Mayo,Kangaroo Island,"Adelaide Hills, Fleurieu and Kangaroo Island",Remote Australia,25 February 2016
Emu Downs,SA-0587,N/A,South Australia,5381,-33.933517,138.988801,Grey,Goyder,Yorke and Mid North,Outer Regional Australia,25 February 2016
Ettrick,SA-0588,N/A,South Australia,5253,-34.994355,139.560591,Barker,Murray Bridge,Murraylands and Riverland,Inner Regional Australia,25 February 2016
Eyre Highway,SA-0589,N/A,South Australia,5652,-33.062086,135.474358,Grey,Wudinna,Whyalla and Eyre Peninsula,Very Remote Australia,25 February 2016
Eyre Highway,SA-0590,Between Wirrulla and Ceduna,South Australia,5680,-32.333654,134.289786,Grey,Ceduna,Whyalla and Eyre Peninsula,Very Remote Australia,25 February 2016
Eyre Highway,SA-0591,Between Ceduna and BoRoader Village,South Australia,5690,-31.37714,131.240204,Grey,Unincorporated SA,Whyalla and Eyre Peninsula,Very Remote Australia,25 February 2016
Eyre Highway,SA-0592,Between Kimba and Iron Knob,South Australia,5600,-32.961096,136.890883,Grey,Unincorporated SA,Far North,Remote Australia,25 February 2016
Fishery Bay Road ,SA-0593,N/A,South Australia,5607,-34.860855,135.690177,Grey,Lower Eyre Peninsula,Whyalla and Eyre Peninsula,Remote Australia,25 February 2016
Flinders Chase,SA-0594,N/A,South Australia,5223,-35.898936,136.718698,Mayo,Kangaroo Island,"Adelaide Hills, Fleurieu and Kangaroo Island",Remote Australia,25 February 2016
Flinders Highway,SA-0595,Between Port Lincoln and Ceduna,South Australia,5671,-33.136984,134.640492,Grey,Streaky Bay,Whyalla and Eyre Peninsula,Very Remote Australia,25 February 2016
Flinders Highway ,SA-0596,Between Streaky Bay and Eba Anchorage ,South Australia,5680,-32.762174,134.288437,Grey,Streaky Bay,Whyalla and Eyre Peninsula,Very Remote Australia,25 February 2016
Flinders Ranges Road,SA-0597,Between Wilpena Pound Road and Blinman,South Australia,5730,-31.270474,138.675377,Grey,Unincorporated SA,Far North,Remote Australia,25 February 2016
Flinders Ranges Way,SA-0598,N/A,South Australia,5433,-32.231145,138.141256,Grey,Flinders Ranges,Far North,Outer Regional Australia,25 February 2016
Flinders Road,SA-0599,N/A,South Australia,5110,-34.70233,138.551805,Wakefield,Playford,Adelaide Metropolitan,Major Cities of Australia,25 February 2016
Florieton,SA-0600,N/A,South Australia,5440,-33.770075,139.422333,Grey,Unincorporated SA,Murraylands and Riverland,Remote Australia,25 February 2016
Fork Tree Road,SA-0601,N/A,South Australia,5203,-35.415494,138.378603,Mayo,Yankalilla,"Adelaide Hills, Fleurieu and Kangaroo Island",Inner Regional Australia,25 February 2016
Freeling,SA-0602,N/A,South Australia,5372,-34.454345,138.810366,Wakefield,Light,Barossa,Inner Regional Australia,25 February 2016
Furner-Redhill Road,SA-0603,N/A,South Australia,5280,-37.405498,140.380811,Barker,Wattle Range,Limestone Coast,Outer Regional Australia,25 February 2016
Gawler River,SA-0604,N/A,South Australia,5118,-34.616184,138.652358,Wakefield,Light,Barossa,Major Cities of Australia,25 February 2016
Geranium Plains,SA-0605,N/A,South Australia,5381,-33.994048,139.194382,Grey,Goyder,Yorke and Mid North,Outer Regional Australia,25 February 2016
Germantown Road,SA-0606,Between the northern end of Germantown Road from Mallala - Gawler Road ,South Australia,5502,-34.522245,138.553543,Wakefield,Mallala,Barossa,Inner Regional Australia,25 February 2016
Germein Gorge Road,SA-0607,Between Port Germein and Wongyarra,South Australia,5481,-32.966666,138.118949,Grey,Mount Remarkable,Yorke and Mid North,Outer Regional Australia,25 February 2016
Giles Corner,SA-0608,N/A,South Australia,5411,-34.223,138.729106,Wakefield,Clare and Gilbert Valleys,Yorke and Mid North,Inner Regional Australia,25 February 2016
Gillentown,SA-0609,N/A,South Australia,5453,-33.883122,138.618068,Wakefield,Clare and Gilbert Valleys,Yorke and Mid North,Outer Regional Australia,25 February 2016
Glendambo,SA-0610,N/A,South Australia,5710,-30.031481,135.18145,Grey,Unincorporated SA,Far North,Very Remote Australia,25 February 2016
Glenelg River Road,SA-0611,N/A,South Australia,5291,-37.887111,140.792766,Barker,Grant,Limestone Coast,Outer Regional Australia,25 February 2016
Gnadenberg Road,SA-0612,N/A,South Australia,5353,-34.496106,139.125913,Barker,Barossa,Barossa,Inner Regional Australia,25 February 2016
Gomersal Road,SA-0613,N/A,South Australia,5371,-34.522761,138.832099,Wakefield,Light,Barossa,Inner Regional Australia,25 February 2016
Good Hope Landing,SA-0614,N/A,South Australia,5330,-34.186398,140.169404,Barker,Loxton Waikerie,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Grace Plains,SA-0615,N/A,South Australia,5502,-34.368273,138.492252,Wakefield,Mallala,Barossa,Inner Regional Australia,25 February 2016
Granite Downs,SA-0616,N/A,South Australia,5724,-26.938,133.497,Grey,Anangu Pitjantjatjara,Far North,Very Remote Australia,25 February 2016
Greenock,SA-0617,N/A,South Australia,5360,-34.457655,138.927472,Wakefield,Light,Barossa,Inner Regional Australia,25 February 2016
Grundy Street,SA-0618,N/A,South Australia,5581,-34.703404,137.876285,Grey,Yorke Peninsula,Yorke and Mid North,Outer Regional Australia,25 February 2016
Gunyah Road,SA-0619,N/A,South Australia,5485,-32.541865,138.088673,Grey,Mount Remarkable,Yorke and Mid North,Outer Regional Australia,25 February 2016
Haines,SA-0620,N/A,South Australia,5223,-35.789505,137.653486,Mayo,Kangaroo Island,"Adelaide Hills, Fleurieu and Kangaroo Island",Remote Australia,25 February 2016
Halbury,SA-0621,N/A,South Australia,5461,-34.085243,138.515899,Wakefield,Wakefield,Yorke and Mid North,Inner Regional Australia,25 February 2016
Hardwicke Bay,SA-0622,N/A,South Australia,5575,-34.891342,137.459589,Grey,Yorke Peninsula,Yorke and Mid North,Remote Australia,25 February 2016
Hawker-Stirling North Road,SA-0623,Between Port Augusta and Quorn,South Australia,5710,-32.494736,137.892809,Grey,Port Augusta,Far North,Outer Regional Australia,25 February 2016
Hawker-Stirling North Road,SA-0624,Between Quorn and Stirling North,South Australia,5434,-31.936159,138.409131,Grey,Flinders Ranges,Far North,Outer Regional Australia,25 February 2016
Hewett,SA-0625,N/A,South Australia,5118,-34.579473,138.747524,Wakefield,Light,Barossa,Major Cities of Australia,25 February 2016
Hill River,SA-0626,N/A,South Australia,5453,-33.790588,138.700017,Wakefield,Clare and Gilbert Valleys,Yorke and Mid North,Outer Regional Australia,25 February 2016
Hill Road,SA-0627,N/A,South Australia,5291,-37.893126,140.834234,Barker,Grant,Limestone Coast,Outer Regional Australia,25 February 2016
Hindmarsh Valley,SA-0628,N/A,South Australia,5211,-35.498803,138.637258,Mayo,Victor Harbor,"Adelaide Hills, Fleurieu and Kangaroo Island",Inner Regional Australia,25 February 2016
Hundred Of Makin Road,SA-0629,N/A,South Australia,5267,-35.967736,140.583183,Barker,Tatiara,Limestone Coast,Remote Australia,25 February 2016
Hutton Vale Road,SA-0630,N/A,South Australia,5353,-34.518111,139.099159,Barker,Barossa,Barossa,Inner Regional Australia,25 February 2016
Inman Valley,SA-0631,N/A,South Australia,5211,-35.494148,138.457002,Mayo,Yankalilla,"Adelaide Hills, Fleurieu and Kangaroo Island",Inner Regional Australia,25 February 2016
Island Beach ,SA-0632,N/A,South Australia,5222,-35.798286,137.800544,Mayo,Kangaroo Island,"Adelaide Hills, Fleurieu and Kangaroo Island",Remote Australia,25 February 2016
Jamieson,SA-0633,N/A,South Australia,5640,-33.435474,136.416789,Grey,Cleve,Whyalla and Eyre Peninsula,Remote Australia,25 February 2016
Jervois Road ,SA-0634,N/A,South Australia,5259,-35.287981,139.413583,Barker,Murray Bridge,Murraylands and Riverland,Inner Regional Australia,25 February 2016
Julia,SA-0635,N/A,South Australia,5374,-34.124102,139.00933,Grey,Goyder,Yorke and Mid North,Inner Regional Australia,25 February 2016
Jutland Road,SA-0636,N/A,South Australia,5235,-34.669026,139.164,Barker,Mid Murray,Murraylands and Riverland,Inner Regional Australia,25 February 2016
Kadina,SA-0637,N/A,South Australia,5554,-33.962775,137.713766,Grey,Copper Coast,Yorke and Mid North,Outer Regional Australia,25 February 2016
Kadina-Cunliffe Road,SA-0638,N/A,South Australia,5554,-34.018109,137.749828,Grey,Copper Coast,Yorke and Mid North,Outer Regional Australia,25 February 2016
Kainton,SA-0639,N/A,South Australia,5552,-34.11322,137.914328,Grey,Yorke Peninsula,Yorke and Mid North,Outer Regional Australia,25 February 2016
Kalangadoo-Penola Road,SA-0640,N/A,South Australia,5278,-37.480144,140.709035,Barker,Wattle Range,Limestone Coast,Outer Regional Australia,25 February 2016
Kaldoonera,SA-0641,N/A,South Australia,5655,-32.572646,134.892382,Grey,Streaky Bay,Whyalla and Eyre Peninsula,Very Remote Australia,25 February 2016
Kanaka Road,SA-0642,N/A,South Australia,5522,-33.708547,137.824014,Grey,Barunga West,Yorke and Mid North,Outer Regional Australia,25 February 2016
Kangaroo Island,SA-0643,Burden Drive,South Australia,5223,-35.670129,137.600069,Mayo,Kangaroo Island,"Adelaide Hills, Fleurieu and Kangaroo Island",Remote Australia,25 February 2016
Kangaroo Road,SA-0644,N/A,South Australia,5255,-35.276087,139.131767,Mayo,Alexandrina,"Adelaide Hills, Fleurieu and Kangaroo Island",Inner Regional Australia,25 February 2016
Kanpi,SA-0645,N/A,South Australia,872,-26.168079,130.118318,Grey,Anangu Pitjantjatjara,Far North,Very Remote Australia,25 February 2016
Kanyaka,SA-0646,N/A,South Australia,5434,-32.074012,138.15265,Grey,Flinders Ranges,Far North,Outer Regional Australia,25 February 2016
Kapunda,SA-0647,N/A,South Australia,5373,-34.341039,138.915525,Wakefield,Light,Barossa,Inner Regional Australia,25 February 2016
Karatta,SA-0648,N/A,South Australia,5223,-35.932695,136.89889,Mayo,Kangaroo Island,"Adelaide Hills, Fleurieu and Kangaroo Island",Remote Australia,25 February 2016
Karoonda Highway,SA-0649,N/A,South Australia,5308,-34.818597,139.929421,Barker,Karoonda East Murray,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Karoonda Road,SA-0650,N/A,South Australia,5306,-35.153417,139.67062,Barker,Karoonda East Murray,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Karoonda-Lameroo Road ,SA-0651,Between Marama and Lameroo ,South Australia,5302,-35.202744,140.310924,Barker,Southern Mallee,Murraylands and Riverland,Remote Australia,25 February 2016
Katjikuta,SA-0652,N/A,South Australia,872,-26.153,131.177,Grey,Anangu Pitjantjatjara,Far North,Very Remote Australia,25 February 2016
Keilira,SA-0653,N/A,South Australia,5275,-36.703346,140.157783,Barker,Kingston,Limestone Coast,Remote Australia,25 February 2016
Keith,SA-0654,N/A,South Australia,5267,-36.098124,140.353614,Barker,Tatiara,Limestone Coast,Outer Regional Australia,25 February 2016
Kelly,SA-0655,N/A,South Australia,5641,-33.226011,136.514043,Grey,Kimba,Whyalla and Eyre Peninsula,Remote Australia,25 February 2016
Kepa,SA-0656,N/A,South Australia,5259,-35.155463,139.445643,Barker,Murray Bridge,Murraylands and Riverland,Inner Regional Australia,25 February 2016
Kielpa,SA-0657,N/A,South Australia,5642,-33.58914,136.225636,Grey,Cleve,Whyalla and Eyre Peninsula,Remote Australia,25 February 2016
Kimba,SA-0658,N/A,South Australia,5641,-33.138239,136.420944,Grey,Kimba,Whyalla and Eyre Peninsula,Remote Australia,25 February 2016
Kingscote,SA-0659,N/A,South Australia,5223,-35.656645,137.63793,Mayo,Kangaroo Island,"Adelaide Hills, Fleurieu and Kangaroo Island",Remote Australia,25 February 2016
Kingston Road,SA-0660,N/A,South Australia,5333,-34.460508,140.553765,Barker,Loxton Waikerie,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Kingston SE,SA-0661,N/A,South Australia,5275,-36.829958,139.853012,Barker,Kingston,Limestone Coast,Outer Regional Australia,25 February 2016
Kohinoor,SA-0662,N/A,South Australia,5223,-35.754329,137.432487,Mayo,Kangaroo Island,"Adelaide Hills, Fleurieu and Kangaroo Island",Remote Australia,25 February 2016
Koongawa,SA-0663,N/A,South Australia,5690,-32.085701,133.751135,Grey,Ceduna,Whyalla and Eyre Peninsula,Very Remote Australia,25 February 2016
Koonoona,SA-0664,N/A,South Australia,5417,-33.816493,138.923346,Grey,Goyder,Yorke and Mid North,Outer Regional Australia,25 February 2016
Krondorf Road,SA-0665,N/A,South Australia,5352,-34.55877,138.964744,Barker,Barossa,Barossa,Inner Regional Australia,25 February 2016
Kudla,SA-0666,N/A,South Australia,5115,-34.651049,138.707119,Wakefield,Gawler,Barossa,Major Cities of Australia,25 February 2016
Kulkami,SA-0667,N/A,South Australia,5302,-35.160789,140.282626,Barker,Southern Mallee,Murraylands and Riverland,Remote Australia,25 February 2016
Kulkami Road,SA-0668,N/A,South Australia,5302,-35.157474,140.285915,Barker,Southern Mallee,Murraylands and Riverland,Remote Australia,25 February 2016
Laura Bay,SA-0669,N/A,South Australia,5680,-32.225474,133.837183,Grey,Ceduna,Whyalla and Eyre Peninsula,Very Remote Australia,25 February 2016
Legges Lane ,SA-0670,Between Conmurra Road and Callendale Road ,South Australia,5272,-37.203058,140.323256,Barker,Naracoorte and Lucindale,Limestone Coast,Outer Regional Australia,25 February 2016
Lindley,SA-0671,N/A,South Australia,5320,-33.960149,139.561514,Barker,Mid Murray,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Lipson-Ungarra Road,SA-0672,N/A,South Australia,5607,-34.204536,136.076831,Grey,Tumby Bay,Whyalla and Eyre Peninsula,Remote Australia,25 February 2016
Lochiel,SA-0673,N/A,South Australia,5510,-33.929424,138.161869,Grey,Wakefield,Yorke and Mid North,Outer Regional Australia,25 February 2016
Lock,SA-0674,N/A,South Australia,5633,-33.568277,135.757371,Grey,Elliston,Whyalla and Eyre Peninsula,Remote Australia,25 February 2016
Long Valley Road,SA-0675,N/A,South Australia,5251,-35.15733,138.88611,Mayo,Mount Barker,"Adelaide Hills, Fleurieu and Kangaroo Island",Inner Regional Australia,25 February 2016
Lowan Vale,SA-0676,N/A,South Australia,5268,-36.179772,140.672818,Barker,Tatiara,Limestone Coast,Remote Australia,25 February 2016
Lucky Bay ,SA-0677,N/A,South Australia,5602,-33.706904,137.040029,Grey,Franklin Harbour,Whyalla and Eyre Peninsula,Outer Regional Australia,25 February 2016
Lyndhurst,SA-0678,N/A,South Australia,5731,-30.287834,138.351139,Grey,Unincorporated SA,Far North,Very Remote Australia,25 February 2016
Macgilivray,SA-0679,N/A,South Australia,5223,-35.84655,137.42201,Mayo,Kangaroo Island,"Adelaide Hills, Fleurieu and Kangaroo Island",Remote Australia,25 February 2016
Maggea Road,SA-0680,N/A,South Australia,5330,-34.260062,140.003084,Barker,Loxton Waikerie,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Main North Road,SA-0681,N/A,South Australia,5480,-33.17085,138.298485,Grey,Northern Areas,Yorke and Mid North,Outer Regional Australia,25 February 2016
Maitland,SA-0682,N/A,South Australia,5573,-34.37415,137.673412,Grey,Yorke Peninsula,Yorke and Mid North,Outer Regional Australia,25 February 2016
Makin,SA-0683,N/A,South Australia,5267,-35.962934,140.486847,Barker,Tatiara,Limestone Coast,Remote Australia,25 February 2016
Mallee Highway,SA-0684,Between Lameroo and Pinnaroo,South Australia,5303,-35.29859,140.690859,Barker,Southern Mallee,Murraylands and Riverland,Remote Australia,25 February 2016
Mantung,SA-0685,N/A,South Australia,5308,-34.590097,140.076994,Barker,Karoonda East Murray,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Marion Bay Road,SA-0686,N/A,South Australia,5575,-34.951083,137.03694,Grey,Yorke Peninsula,Yorke and Mid North,Remote Australia,25 February 2016
Maryvale,SA-0687,N/A,South Australia,5680,-32.826272,134.470446,Grey,Streaky Bay,Whyalla and Eyre Peninsula,Very Remote Australia,25 February 2016
Maude,SA-0688,N/A,South Australia,5320,-33.877386,139.448289,Barker,Mid Murray,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Melrose,SA-0689,N/A,South Australia,5483,-32.825615,138.187734,Grey,Mount Remarkable,Yorke and Mid North,Outer Regional Australia,25 February 2016
Mercunda,SA-0690,N/A,South Australia,5308,-34.640582,140.029786,Barker,Karoonda East Murray,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Merty Merty ,SA-0691,Between Nipapanha and Innamincka ,South Australia,5731,-28.59104,140.279681,Grey,Unincorporated SA,Far North,Very Remote Australia,25 February 2016
Middle River,SA-0692,N/A,South Australia,5223,-35.7113,137.060905,Mayo,Kangaroo Island,"Adelaide Hills, Fleurieu and Kangaroo Island",Remote Australia,25 February 2016
Millicent,SA-0693,N/A,South Australia,5280,-37.596498,140.352507,Barker,Wattle Range,Limestone Coast,Outer Regional Australia,25 February 2016
Mindarie Road ,SA-0694,Between Caliph and Pyap West ,South Australia,5310,-34.598107,140.322639,Barker,Loxton Waikerie,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Minlaton-Stansbury Road,SA-0695,N/A,South Australia,5575,-34.831094,137.720545,Grey,Yorke Peninsula,Yorke and Mid North,Outer Regional Australia,25 February 2016
Minnipa,SA-0696,N/A,South Australia,5654,-32.857851,135.155567,Grey,Wudinna,Whyalla and Eyre Peninsula,Very Remote Australia,25 February 2016
Mintabie,SA-0697,N/A,South Australia,5724,-27.3141,133.2975,Grey,Anangu Pitjantjatjara,Far North,Very Remote Australia,25 February 2016
Moonah Bore Road,SA-0698,Between Meribah and Peebinga,South Australia,5311,-34.784985,140.885632,Barker,Loxton Waikerie,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Morgan,SA-0699,N/A,South Australia,5320,-34.035414,139.671941,Barker,Mid Murray,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Mount Bryan East,SA-0700,N/A,South Australia,5419,-33.400186,139.001281,Grey,Goyder,Yorke and Mid North,Outer Regional Australia,25 February 2016
Mount Bryan East Road,SA-0701,N/A,South Australia,5418,-33.522497,138.921292,Grey,Goyder,Yorke and Mid North,Outer Regional Australia,25 February 2016
Mount Burr,SA-0702,N/A,South Australia,5279,-37.541895,140.456793,Barker,Wattle Range,Limestone Coast,Outer Regional Australia,25 February 2016
Mount Cooper,SA-0703,N/A,South Australia,5671,-32.977053,134.762999,Grey,Streaky Bay,Whyalla and Eyre Peninsula,Very Remote Australia,25 February 2016
Mount Hill,SA-0704,N/A,South Australia,5605,-34.065553,136.20059,Grey,Tumby Bay,Whyalla and Eyre Peninsula,Remote Australia,25 February 2016
Mount MacIntyre,SA-0705,N/A,South Australia,5279,-37.577982,140.558399,Barker,Wattle Range,Limestone Coast,Outer Regional Australia,25 February 2016
Mount Mary,SA-0706,N/A,South Australia,5374,-34.104646,139.439495,Barker,Mid Murray,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Mount McIntyre Road ,SA-0707,Between Kalangadoo and Mount Burr ,South Australia,5279,-37.550396,140.588848,Barker,Wattle Range,Limestone Coast,Outer Regional Australia,25 February 2016
Mount McKenzie,SA-0708,N/A,South Australia,5353,-34.56064,139.097996,Barker,Barossa,Barossa,Inner Regional Australia,25 February 2016
Mount Willoughby,SA-0709,N/A,South Australia,5724,-27.681186,134.459411,Grey,Unincorporated SA,Far North,Very Remote Australia,25 February 2016
Mt Bryan East,SA-0710,N/A,South Australia,5419,-33.398543,139.000911,Grey,Goyder,Yorke and Mid North,Outer Regional Australia,25 February 2016
Munda and Wanna Mar,SA-0711,N/A,South Australia,5710,-30.691796,139.828553,Grey,Unincorporated SA,Far North,Very Remote Australia,25 February 2016
Mundulla West,SA-0712,N/A,South Australia,5270,-36.381813,140.585699,Barker,Tatiara,Limestone Coast,Remote Australia,25 February 2016
Murbko,SA-0713,N/A,South Australia,5320,-34.158851,139.663799,Barker,Mid Murray,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Nangkita Road,SA-0714,N/A,South Australia,5210,-35.344141,138.672096,Mayo,Alexandrina,"Adelaide Hills, Fleurieu and Kangaroo Island",Inner Regional Australia,25 February 2016
Naracoorte,SA-0715,N/A,South Australia,5271,-36.95508,140.743395,Barker,Naracoorte and Lucindale,Limestone Coast,Outer Regional Australia,25 February 2016
New Residence,SA-0716,N/A,South Australia,5333,-34.372671,140.403934,Barker,Loxton Waikerie,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Ngapala,SA-0717,N/A,South Australia,5374,-34.047766,138.999945,Grey,Goyder,Yorke and Mid North,Inner Regional Australia,25 February 2016
Ngarkat Highway ,SA-0718,N/A,South Australia,5303,-35.470213,140.769878,Barker,Southern Mallee,Murraylands and Riverland,Remote Australia,25 February 2016
Ngarkat Highway ,SA-0719,Between Ngarkat and Pinnaroo ,South Australia,5302,-35.610295,140.771599,Barker,Southern Mallee,Murraylands and Riverland,Remote Australia,25 February 2016
Ninnes,SA-0720,N/A,South Australia,5560,-33.97035,138.020627,Grey,Barunga West,Yorke and Mid North,Outer Regional Australia,25 February 2016
North Coast Road,SA-0721,N/A,South Australia,5223,-35.615728,137.373168,Mayo,Kangaroo Island,"Adelaide Hills, Fleurieu and Kangaroo Island",Remote Australia,25 February 2016
Novotel Resort Rowland Flat,SA-0722,N/A,South Australia,5352,-34.565438,138.924543,Wakefield,Light,Barossa,Inner Regional Australia,25 February 2016
Nunjikompita,SA-0723,N/A,South Australia,5680,-32.260127,134.356477,Grey,Ceduna,Whyalla and Eyre Peninsula,Very Remote Australia,25 February 2016
OB Flat- Childs Road,SA-0724,Childs Road,South Australia,5291,-37.897759,140.756229,Barker,Grant,Limestone Coast,Outer Regional Australia,25 February 2016
Old Norton Summit Road,SA-0725,N/A,South Australia,5141,-34.924608,138.71805,Mayo,Adelaide Hills,"Adelaide Hills, Fleurieu and Kangaroo Island",Major Cities of Australia,25 February 2016
Oodnadatta Track,SA-0726,N/A,South Australia,5731,-29.658367,137.675048,Grey,Unincorporated SA,Far North,Very Remote Australia,25 February 2016
Oodnadatta Track,SA-0727,N/A,South Australia,5710,-28.813799,136.162665,Grey,Unincorporated SA,Far North,Very Remote Australia,25 February 2016
Parndana,SA-0728,N/A,South Australia,5220,-35.785568,137.259012,Mayo,Kangaroo Island,"Adelaide Hills, Fleurieu and Kangaroo Island",Remote Australia,25 February 2016
Parrakie South Road,SA-0729,N/A,South Australia,5301,-35.502213,140.253686,Barker,Southern Mallee,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Pata,SA-0730,N/A,South Australia,5333,-34.563655,140.520978,Barker,Loxton Waikerie,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Pelican Lagoon,SA-0731,N/A,South Australia,5222,-35.807545,137.802703,Mayo,Kangaroo Island,"Adelaide Hills, Fleurieu and Kangaroo Island",Remote Australia,25 February 2016
Penola,SA-0732,N/A,South Australia,5277,-37.379055,140.838797,Barker,Wattle Range,Limestone Coast,Outer Regional Australia,25 February 2016
Penrice Road,SA-0733,N/A,South Australia,5353,-34.484124,139.042253,Barker,Barossa,Barossa,Inner Regional Australia,25 February 2016
Petherick Road ,SA-0734,N/A,South Australia,5267,-36.396698,140.301902,Barker,Tatiara,Limestone Coast,Remote Australia,25 February 2016
Petina,SA-0735,N/A,South Australia,5680,-32.460169,134.382642,Grey,Streaky Bay,Whyalla and Eyre Peninsula,Very Remote Australia,25 February 2016
Pfeiffer Road,SA-0736,N/A,South Australia,5301,-35.496963,140.214361,Barker,Southern Mallee,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Piednippie,SA-0737,N/A,South Australia,5680,-32.758385,134.410063,Grey,Streaky Bay,Whyalla and Eyre Peninsula,Very Remote Australia,25 February 2016
